inn;predpriyatie;vzyato;pochemu
2130230898;ТД Транспортное машиностроение;72;обойдено
7718560636;ПАО Группа Черкизово;0;обойдено
2124009521;"ПАО ""ХИМПРОМ""";787;обойдено
7417001747;"ПАО ""КОМБИНАТ ""МАГНЕЗИТ""";10;обойдено
2457029066;"МУНИЦИПАЛЬНОЕ УНИТАРНОЕ ПРЕДПРИЯТИЕ МУНИЦИПАЛЬНОГО ОБРАЗОВАНИЯ ГОРОД НОРИЛЬСК ""КОММУНАЛЬНЫЕ ОБЪЕДИНЕННЫЕ СИСТЕМЫ""";0;обойдено
4220020218;ТопПром;0;обойдено
2127309097;ПО КТЗ;4;обойдено
0266048970;"ООО ""ГАЗПРОМ НЕФТЕХИМ САЛАВАТ""";0;обойдено
6612005052;"АО ""РУСАЛ УРАЛ""";81;обойдено
7730248430;РУСАЛ Менеджмент (непрофильные активы);0;обойдено
3804039638;РУСАЛ ИТЦ;0;обойдено
7704758153;ГК ЛокоТех;0;обойдено
2624022320;"ООО ""СТАВРОЛЕН""";799;обойдено
5905099475;"ООО ""ЛУКОЙЛ-ПЕРМНЕФТЕОРГСИНТЕЗ""";800;обойдено
4223036696;"ООО ""ОФ ""ПРОКОПЬЕВСКУГОЛЬ""";0;обойдено
7017075536;"ООО ""ТОМСКНЕФТЕХИМ""";0;обойдено
6320005915;"ПАО ""КУЙБЫШЕВАЗОТ""";0;обойдено
0258005638;"АО ""ПОЛИЭФ""";0;обойдено
1004001744;"АО ""КАРЕЛЬСКИЙ ОКАТЫШ""";8;обойдено
6670061296;Русская медная компания;0;обойдено
5504097128;АО ОМСКВОДОКАНАЛ;0;обойдено
5009034660;"МУП ""ДОМОДЕДОВСКИЙ ВОДОКАНАЛ""";0;обойдено
7830000426;"ГОСУДАРСТВЕННОЕ УНИТАРНОЕ ПРЕДПРИЯТИЕ ""ВОДОКАНАЛ САНКТ-ПЕТЕРБУРГА""";402;обойдено
7726671234;"ООО ""РВК-ВОРОНЕЖ""";0;обойдено
6330000553;"АО ""НК НПЗ""";0;обойдено
2457061937;"ООО ""НОРИЛЬСКНИКЕЛЬРЕМОНТ""";0;обойдено
3803100054;Филиал РУСАЛ Братск в г. Шелехов;0;обойдено
