zakupka;inn;nazvanie_zakazchika
32110511492;0262016287;Карточка закупки
32110764715;6147025090;Карточка закупки
32211412419;6147025090;Карточка закупки
32312442003;6147025090;Карточка закупки
32413499384;5406323202;Карточка закупки
32413559795;5406323202;Карточка закупки
32413707001;7701791321;Карточка закупки
32413725229;0277077282;Карточка закупки
32413732708;1500004950;Карточка закупки
32413776119;1500004950;Карточка закупки
32413837950;6901067107;Карточка закупки
32413838560;4716016979;Карточка закупки
32413842425;1500004950;Карточка закупки
32413845554;7704784450;Карточка закупки
32413846645;4716016979;Карточка закупки
32514623587;7718649612;Карточка закупки
32514738215;6671156423;Карточка закупки
32514830937;0277077282;Карточка закупки
32514844979;5034068091;Карточка закупки
32514907567;5034068091;Карточка закупки
32514932098;7701791321;Карточка закупки
32514975000;7701791321;Карточка закупки
32515001727;7701791321;Карточка закупки
32515014163;0277077282;Карточка закупки
32515037899;7704784450;Карточка закупки
32515056440;7704784450;Карточка закупки
32515057805;6901067107;Карточка закупки
32515062753;6901067107;Карточка закупки
32515066572;4716016979;Карточка закупки
32515068208;6901067107;Карточка закупки
32515069505;4716016979;Карточка закупки
32515070735;4716016979;Карточка закупки
32515073594;4716016979;Карточка закупки
32515076476;6901067107;Карточка закупки
32515076911;4716016979;Карточка закупки
32615994476;0277077282;Карточка закупки
32616047061;1683018700;Карточка закупки
32616150964;5018216345;Карточка закупки
32616202569;7730263559;Карточка закупки
32616211800;3808118560;Карточка закупки
32616218223;2457029066;Карточка закупки
32616225685;6901067107;Карточка закупки
32616228251;3661022760;Карточка закупки
32616232191;7701791321;Карточка закупки
32616233236;1435142972;Карточка закупки
32616233351;1434031363;Карточка закупки
32616235529;7726747370;Карточка закупки
32616235545;2457029066;Карточка закупки
32616236084;6164288981;Карточка закупки
32616236531;5043019742;Карточка закупки
32616238782;7701791321;Карточка закупки
32616239435;7704784450;Карточка закупки
32616241397;7327063643;Карточка закупки
32616242778;7701791321;Карточка закупки
32616242908;7704784450;Карточка закупки
32616244436;6901067107;Карточка закупки
32616244594;6901067107;Карточка закупки
32616244775;7701984274;Карточка закупки
32616245257;4909095279;Карточка закупки
32616246376;7717036797;Карточка закупки
32616246780;6901067107;Карточка закупки
32616246974;7704784450;Карточка закупки
32616247268;6901067107;Карточка закупки
32616247923;7701984274;Карточка закупки
32616248626;6901067107;Карточка закупки
32616248653;4716016979;Карточка закупки
32616248733;4716016979;Карточка закупки
32616248854;4716016979;Карточка закупки
32616248904;4716016979;Карточка закупки
