inn;kpp;predpriyatie;vzyato;pochemu
2130230898;213001001;ТД Транспортное машиностроение;0;нет страницы по КПП 213001001 — предприятия на площадке нет
7718560636;501901001;ПАО Группа Черкизово;0;нет страницы по КПП 501901001 — предприятия на площадке нет
2124009521;212401001;"ПАО ""ХИМПРОМ""";0;нет страницы по КПП 212401001 — предприятия на площадке нет
7417001747;745701001;"ПАО ""КОМБИНАТ ""МАГНЕЗИТ""";0;нет страницы по КПП 745701001 — предприятия на площадке нет
4220020218;421701001;ТопПром;0;нет страницы по КПП 421701001 — предприятия на площадке нет
2127309097;213001001;ПО КТЗ;0;нет страницы по КПП 213001001 — предприятия на площадке нет
0266048970;026601001;"ООО ""ГАЗПРОМ НЕФТЕХИМ САЛАВАТ""";0;обойдено
6612005052;661201001;"АО ""РУСАЛ УРАЛ""";0;нет страницы по КПП 661201001 — предприятия на площадке нет
7705880068;770701001;Русский Уголь;0;нет страницы по КПП 770701001 — предприятия на площадке нет
7730248021;773001001;"ООО ""ИСО""";0;нет страницы по КПП 773001001 — предприятия на площадке нет
3006006420;301501001;"ООО ""ГАЗПРОМ ДОБЫЧА АСТРАХАНЬ""";0;обойдено
1117000011;111701001;"АО ""Боксит Тимана""";0;нет страницы по КПП 111701001 — предприятия на площадке нет
8602016725;860201001;"СУРГУТСКОЕ ГОРОДСКОЕ МУНИЦИПАЛЬНОЕ УНИТАРНОЕ ПРЕДПРИЯТИЕ ""ГОРВОДОКАНАЛ""";2;обойдено
7730248430;773001001;РУСАЛ Менеджмент (непрофильные активы);0;нет страницы по КПП 773001001 — предприятия на площадке нет
3804039638;246501001;РУСАЛ ИТЦ;0;нет страницы по КПП 246501001 — предприятия на площадке нет
7704758153;770901001;ГК ЛокоТех;0;нет страницы по КПП 770901001 — предприятия на площадке нет
2624022320;262401001;"ООО ""СТАВРОЛЕН""";0;нет страницы по КПП 262401001 — предприятия на площадке нет
5905099475;590501001;"ООО ""ЛУКОЙЛ-ПЕРМНЕФТЕОРГСИНТЕЗ""";0;нет страницы по КПП 590501001 — предприятия на площадке нет
4223036696;422301001;"ООО ""ОФ ""ПРОКОПЬЕВСКУГОЛЬ""";1;обойдено
6626002291;667901001;"ПАО ""СТЗ""";0;нет страницы по КПП 667901001 — предприятия на площадке нет
1656025681;165601001;"ФКП ""КГКПЗ""";0;обойдено
0263009557;026301001;"АО ""МЕЛЕУЗОВСКИЕ МИНЕРАЛЬНЫЕ УДОБРЕНИЯ""";0;обойдено
7017075536;701701001;"ООО ""ТОМСКНЕФТЕХИМ""";0;нет страницы по КПП 701701001 — предприятия на площадке нет
6320005915;632401001;"ПАО ""КУЙБЫШЕВАЗОТ""";0;нет страницы по КПП 632401001 — предприятия на площадке нет
0258005638;025801001;"АО ""ПОЛИЭФ""";0;нет страницы по КПП 025801001 — предприятия на площадке нет
1004001744;100401001;"АО ""КАРЕЛЬСКИЙ ОКАТЫШ""";0;нет страницы по КПП 100401001 — предприятия на площадке нет
6670061296;667101001;Русская медная компания;0;нет страницы по КПП 667101001 — предприятия на площадке нет
5504097128;550401001;АО ОМСКВОДОКАНАЛ;21;обойдено
5009034660;500901001;"МУП ""ДОМОДЕДОВСКИЙ ВОДОКАНАЛ""";3;обойдено
7830000426;784201001;"ГОСУДАРСТВЕННОЕ УНИТАРНОЕ ПРЕДПРИЯТИЕ ""ВОДОКАНАЛ САНКТ-ПЕТЕРБУРГА""";41;обойдено
7726671234;366501001;"ООО ""РВК-ВОРОНЕЖ"", организатор";12;обойдено
2221064060;222401001;"ООО ""БАРНАУЛЬСКИЙ ВОДОКАНАЛ"", организатор";7;обойдено
0277077282;027801001;"ООО ""БГК"" (ИНН 0277077282)";0;обойдено
5249002485;524901001;"ФКП ""ЗАВОД ИМЕНИ Я.М.СВЕРДЛОВА""";0;обойдено
2457061937;245701001;"ООО ""НОРИЛЬСКНИКЕЛЬРЕМОНТ""";0;нет страницы по КПП 245701001 — предприятия на площадке нет
3803100054;380401001;Филиал РУСАЛ Братск в г. Шелехов;0;нет страницы по КПП 380401001 — предприятия на площадке нет
7321316986;732101001;"ООО ""ЗАВОД ТЕХНОНИКОЛЬ-УЛЬЯНОВСК""";0;нет страницы по КПП 732101001 — предприятия на площадке нет
4205003440;420501001;"АО ""КТК"" (ИНН 4205003440)";0;нет страницы по КПП 420501001 — предприятия на площадке нет
6330000553;633001001;"АО ""НК НПЗ""";0;нет страницы по КПП 633001001 — предприятия на площадке нет
0266008329;026601001;"ОАО ""Газпром нефтехим Салават""";0;обойдено
7118004789;711801001;"ОАО ""Щекиноазот""";0;нет страницы по КПП 711801001 — предприятия на площадке нет
6314006396;631401001;"АО ""КНПЗ""";0;нет страницы по КПП 631401001 — предприятия на площадке нет
6227007322;623401001;"АО ""РНПК""";0;нет страницы по КПП 623401001 — предприятия на площадке нет
6665002150;661201001;АО КУМЗ;0;нет страницы по КПП 661201001 — предприятия на площадке нет
7705581646;391301001;УК СОДРУЖЕСТВО;0;нет страницы по КПП 391301001 — предприятия на площадке нет
3849096450;384901001;"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""СЕРВИС ИНЖИНИРИНГ СИСТЕМС""";0;нет страницы по КПП 384901001 — предприятия на площадке нет
