inn;predpriyatie;kartochek;lyudej;s_mobilnym;sboev;pochemu
2130225986;"КАЗЕННОЕ УЧРЕЖДЕНИЕ ЧУВАШСКОЙ РЕСПУБЛИКИ ""РЕГИОНАЛЬНЫЙ ЦЕНТР ЗАКУПОК ЧУВАШСКОЙ РЕСПУБЛИКИ""";20;7;0;0;обойдено
7701984274;"АО ""Мосводоканал""";11;0;0;1;1 карточек не снялось — перезапросить
6315376946;"ПАО ""Т ПЛЮС""";10;0;0;0;обойдено
7702352454;"ФЕДЕРАЛЬНОЕ ГОСУДАРСТВЕННОЕ УНИТАРНОЕ ПРЕДПРИЯТИЕ ""РОСМОРПОРТ""";20;12;0;0;обойдено
7729082090;МОСКОВСКИЙ ГОСУДАРСТВЕННЫЙ УНИВЕРСИТЕТ ИМЕНИ М.В.ЛОМОНОСОВА, МГУ ИМЕНИ М.В.ЛОМОНОСОВА, МОСКОВСКИЙ УНИВЕРСИТЕТ ИЛИ МГУ;11;0;0;1;1 карточек не снялось — перезапросить
7703642903;"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ИНТЕР РАО-ЦЕНТР УПРАВЛЕНИЯ ЗАКУПКАМИ""";12;0;0;2;2 карточек не снялось — перезапросить
3808118560;"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ТОРГОВЫЙ ДОМ ""ЕВРОСИБЭНЕРГО""";10;0;0;0;обойдено
3808229774;"ООО ""БАЙКАЛЬСКАЯ ЭНЕРГЕТИЧЕСКАЯ КОМПАНИЯ""";11;0;0;1;1 карточек не снялось — перезапросить
7724490000;"АО ""ПОЧТА РОССИИ""";20;7;0;0;обойдено
7717609102;"АКЦИОНЕРНОЕ ОБЩЕСТВО ""АТОМСПЕЦТРАНС""";10;0;0;0;обойдено
7708671295;"Общество с ограниченной ответственностью ""АРМЗ Сервис""";11;0;0;1;1 карточек не снялось — перезапросить
7204095194;"ООО ""ТЮМЕНЬ ВОДОКАНАЛ""";11;0;0;1;1 карточек не снялось — перезапросить
9701087623;"АКЦИОНЕРНОЕ ОБЩЕСТВО ""РОСАТОМ ВОЗОБНОВЛЯЕМАЯ ЭНЕРГИЯ""";10;0;0;0;обойдено
4100000668;"ПАО ""КАМЧАТСКЭНЕРГО""";12;0;0;2;2 карточек не снялось — перезапросить
7701791321;"ООО ""СК ""РУСВЬЕТПЕТРО""";12;0;0;2;2 карточек не снялось — перезапросить
7424024375;"ПАО ""ЮГК""";10;0;0;0;обойдено
2536112729;"КГУП ""Примтеплоэнерго""";10;0;0;0;обойдено
1500004950;"Акционерное общество ""Инфраструктурные Проекты""";11;0;0;1;1 карточек не снялось — перезапросить
7704784450;"АО ""ИНТЕР РАО-ЭЛЕКТРОГЕНЕРАЦИЯ""";11;0;0;1;1 карточек не снялось — перезапросить
2434012299;"ООО ""СОВРУДНИК""";10;0;0;0;обойдено
7713652964;"ГОСУДАРСТВЕННОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ ГОРОДА МОСКВЫ ""ДИРЕКЦИЯ ЗАКАЗЧИКА ЖИЛИЩНО-КОММУНАЛЬНОГО ХОЗЯЙСТВА И БЛАГОУСТРОЙСТВА ";10;0;0;0;обойдено
4909095279;"АКЦИОНЕРНОЕ ОБЩЕСТВО ""УСТЬ-СРЕДНЕКАНГЭССТРОЙ""";11;0;0;1;1 карточек не снялось — перезапросить
2311010502;ГБУЗ ККБ № 2;10;0;0;0;обойдено
6027143462;"ГБУ ПО ""ПСКОВАВТОДОР""";11;0;0;1;1 карточек не снялось — перезапросить
6608001915;ЕКАТЕРИНБУРГСКОЕ МУНИЦИПАЛЬНОЕ УНИТАРНОЕ ПРЕДПРИЯТИЕ ВОДОПРОВОДНО-КАНАЛИЗАЦИОННОГО ХОЗЯЙСТВА;11;0;0;1;1 карточек не снялось — перезапросить
2635040105;"ГОСУДАРСТВЕННОЕ УНИТАРНОЕ ПРЕДПРИЯТИЕ СТАВРОПОЛЬСКОГО КРАЯ ""СТАВРОПОЛЬКРАЙВОДОКАНАЛ""";14;1;0;2;2 карточек не снялось — перезапросить
5411100875;"МУНИЦИПАЛЬНОЕ УНИТАРНОЕ ПРЕДПРИЯТИЕ Г. НОВОСИБИРСКА "" ГОРВОДОКАНАЛ """;13;3;0;0;обойдено
1644003838;"ПАО ""ТАТНЕФТЬ"" ИМ. В.Д. ШАШИНА";12;0;0;2;2 карточек не снялось — перезапросить
7830001758;САНКТ-ПЕТЕРБУРГСКОЕ ГОСУДАРСТВЕННОЕ УНИТАРНОЕ ПРЕДПРИЯТИЕ ПАССАЖИРСКОГО АВТОМОБИЛЬНОГО ТРАНСПОРТА;12;7;0;0;обойдено
8901025421;"АО ""ЯМАЛКОММУНЭНЕРГО""";11;1;0;0;обойдено
7438015885;"АО ""МАКФА""";11;2;0;0;обойдено
5022030985;"МУП ""ТЕПЛО КОЛОМНЫ""";11;1;0;0;обойдено
3702597104;"АО ""ВОДОКАНАЛ""";10;2;0;0;обойдено
1101205461;"АКЦИОНЕРНОЕ ОБЩЕСТВО ""КОМИ ТЕПЛОВАЯ КОМПАНИЯ""";9;3;0;0;обойдено
6829012231;"АКЦИОНЕРНОЕ ОБЩЕСТВО ""ТАМБОВСКАЯ СЕТЕВАЯ КОМПАНИЯ""";9;0;0;1;1 карточек не снялось — перезапросить
2700001300;"МУНИЦИПАЛЬНОЕ УНИТАРНОЕ ПРЕДПРИЯТИЕ ГОРОДА ХАБАРОВСКА ""ВОДОКАНАЛ""";9;4;0;2;2 карточек не снялось — перезапросить
