inn;kpp;inn_kpp;imya
2130230898;;;площадка не знает этот ИНН
7718560636;;;площадка не знает этот ИНН
2124009521;212401001;2124009521_212401001;"ПУБЛИЧНОЕ АКЦИОНЕРНОЕ ОБЩЕСТВО ""ХИМПРОМ"""
7417001747;;;площадка не знает этот ИНН
2457029066;245701001;2457029066_245701001;"МУНИЦИПАЛЬНОЕ УНИТАРНОЕ ПРЕДПРИЯТИЕ МУНИЦИПАЛЬНОГО ОБРАЗОВАНИЯ ГОРОД НОРИЛЬСК ""КОММУНАЛЬНЫЕ ОБЪЕДИНЕННЫЕ СИСТЕМЫ"""
4220020218;;;площадка не знает этот ИНН
2127309097;;;площадка не знает этот ИНН
0266048970;;;площадка не знает этот ИНН
6612005052;661702001;6612005052_661702001;"Акционерное общество ""Объединенная компания РУСАЛ Уральский Алюминий"""
6612005052;661201001;6612005052_661201001;"АКЦИОНЕРНОЕ ОБЩЕСТВО ""ОБЪЕДИНЕННАЯ КОМПАНИЯ РУСАЛ УРАЛЬСКИЙ АЛЮМИНИЙ"""
7705880068;770701001;7705880068_770701001;"АКЦИОНЕРНОЕ ОБЩЕСТВО ""РУССКИЙ УГОЛЬ"""
7730248021;;;площадка не знает этот ИНН
1650032058;165001001;1650032058_165001001;"ПУБЛИЧНОЕ АКЦИОНЕРНОЕ ОБЩЕСТВО ""КАМАЗ"""
3006006420;301501001;3006006420_301501001;"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ГАЗПРОМ ДОБЫЧА АСТРАХАНЬ"""
1117000011;;;площадка не знает этот ИНН
8602016725;860201001;8602016725_860201001;"СУРГУТСКОЕ ГОРОДСКОЕ МУНИЦИПАЛЬНОЕ УНИТАРНОЕ ПРЕДПРИЯТИЕ ""ГОРВОДОКАНАЛ"""
7730248430;;;площадка не знает этот ИНН
3804039638;;;площадка не знает этот ИНН
7704758153;;;площадка не знает этот ИНН
0263009557;;;площадка не знает этот ИНН
