inn;predpriyatie;company_id;company_na_ploshchadke;tenderov;pochemu
2457029066;"МУНИЦИПАЛЬНОЕ УНИТАРНОЕ ПРЕДПРИЯТИЕ МУНИЦИПАЛЬНОГО ОБРАЗОВАНИЯ ГОРОД НОРИЛЬСК ""КОММУНАЛЬНЫЕ ОБЪЕДИНЕННЫЕ СИСТЕМЫ""";;;0;в каталоге площадки нет
2127309097;ПО КТЗ;143262;ПО КТЗ (Чебоксары);2672;обойдено
0266048970;"ООО ""ГАЗПРОМ НЕФТЕХИМ САЛАВАТ""";;;0;в каталоге площадки нет
2130230898;ТД Транспортное машиностроение;389400;ТД Транспортное машиностроение (Чебоксары);3000;выдача обрезана потолком страниц
2124009521;"ПАО ""ХИМПРОМ""";51053;Химпром (Новочебоксарск);3000;выдача обрезана потолком страниц
4220020218;ТопПром;80034;ТопПром (Новокузнецк);3000;выдача обрезана потолком страниц
7718560636;ПАО Группа Черкизово;210033;ПАО Группа Черкизово (Москва);2998;выдача обрезана потолком страниц
3006006420;"ООО ""ГАЗПРОМ ДОБЫЧА АСТРАХАНЬ""";;;0;в каталоге площадки нет
7417001747;"ПАО ""КОМБИНАТ ""МАГНЕЗИТ""";16537;Комбинат Магнезит (Сатка);3000;выдача обрезана потолком страниц
8602016725;"СУРГУТСКОЕ ГОРОДСКОЕ МУНИЦИПАЛЬНОЕ УНИТАРНОЕ ПРЕДПРИЯТИЕ ""ГОРВОДОКАНАЛ""";;;0;в каталоге площадки нет
6612005052;"АО ""РУСАЛ УРАЛ""";334308;РУСАЛ Волгоград;3000;выдача обрезана потолком страниц
7705880068;Русский Уголь;55785;Русский Уголь (Москва);3000;выдача обрезана потолком страниц
7704758153;ГК ЛокоТех;466287;ВОСТОЧНО-СИБИРСКИЙ (Северобайкальск);0;обойдено
1650032058;КАМАЗ;2953;КАМАЗ (Набережные Челны);2054;обойдено
5905099475;"ООО ""ЛУКОЙЛ-ПЕРМНЕФТЕОРГСИНТЕЗ""";;;0;в каталоге площадки нет
4223036696;"ООО ""ОФ ""ПРОКОПЬЕВСКУГОЛЬ""";;;0;в каталоге площадки нет
7730248021;"ООО ""ИСО""";338611;ИСО (Москва);2999;выдача обрезана потолком страниц
1117000011;"АО ""Боксит Тимана""";350779;БОКСИТ ТИМАНА (Княжпогостский район);3000;выдача обрезана потолком страниц
0263009557;"АО ""МЕЛЕУЗОВСКИЕ МИНЕРАЛЬНЫЕ УДОБРЕНИЯ""";;;0;в каталоге площадки нет
7017075536;"ООО ""ТОМСКНЕФТЕХИМ""";128878;ТОМСКНЕФТЕХИМ (Томск);0;обойдено
6320005915;"ПАО ""КУЙБЫШЕВАЗОТ""";40396;КуйбышевАзот (Тольятти);0;обойдено
0258005638;"АО ""ПОЛИЭФ""";;;0;в каталоге площадки нет
1004001744;"АО ""КАРЕЛЬСКИЙ ОКАТЫШ""";247238;АО Карельский окатыш (Костомукша);0;обойдено
2624022320;"ООО ""СТАВРОЛЕН""";443;Ставролен (Будённовск);1264;обойдено
5504097128;АО ОМСКВОДОКАНАЛ;;;0;в каталоге площадки нет
5009034660;"МУП ""ДОМОДЕДОВСКИЙ ВОДОКАНАЛ""";;;0;в каталоге площадки нет
7830000426;"ГОСУДАРСТВЕННОЕ УНИТАРНОЕ ПРЕДПРИЯТИЕ ""ВОДОКАНАЛ САНКТ-ПЕТЕРБУРГА""";;;0;в каталоге площадки нет
7726671234;"ООО ""РВК-ВОРОНЕЖ""";;;0;в каталоге площадки нет
7730248430;РУСАЛ Менеджмент (непрофильные активы);334235;РУСАЛ Менеджмент (Москва);2999;выдача обрезана потолком страниц
2221064060;"ООО ""БАРНАУЛЬСКИЙ ВОДОКАНАЛ""";32452;Барнаульский водоканал;16;обойдено
0277077282;"ООО ""БГК"" (ИНН 0277077282)";;;0;в каталоге площадки нет
5249002485;"ФКП ""ЗАВОД ИМЕНИ Я.М.СВЕРДЛОВА""";36089;ФКП Завод имени Я.М.Свердлова (Дзержинск);0;обойдено
6330000553;"АО ""НК НПЗ""";118609;Новокуйбышевский НПЗ;0;обойдено
2457061937;"ООО ""НОРИЛЬСКНИКЕЛЬРЕМОНТ""";347419;Норильскникельремонт;12;обойдено
3804039638;РУСАЛ ИТЦ;349271;РУСАЛ ИТЦ (Красноярск);3000;выдача обрезана потолком страниц
6626002291;"ПАО ""СТЗ""";21048;Северский трубный завод (Полевской);3000;выдача обрезана потолком страниц
0266008329;"ОАО ""Газпром нефтехим Салават""";;;0;в каталоге площадки нет
7118004789;"ОАО ""Щекиноазот""";92591;Щекиноазот (Щекинский район);11;обойдено
6314006396;"АО ""КНПЗ""";118607;Куйбышевский НПЗ (Самара);0;обойдено
6227007322;"АО ""РНПК""";84452;РЯЗАНСКАЯ НЕФТЕПЕРЕРАБАТЫВАЮЩАЯ КОМПАНИЯ (Рязань);0;обойдено
6665002150;АО КУМЗ;84167;Каменск-Уральский металлургический завод;0;обойдено
1656025681;"ФКП ""КГКПЗ""";33243;Казанский пороховой завод (Казань);3000;выдача обрезана потолком страниц
7321316986;"ООО ""ЗАВОД ТЕХНОНИКОЛЬ-УЛЬЯНОВСК""";42241;Завод ТехноНИКОЛЬ-Ульяновск (Новоульяновск);2232;обойдено
4205003440;"АО ""КТК"" (ИНН 4205003440)";349459;АО КТК (Кемерово);937;обойдено
6670061296;Русская медная компания;61098;Русская медная компания (Екатеринбург);3000;выдача обрезана потолком страниц
3803100054;Филиал РУСАЛ Братск в г. Шелехов;334350;РУСАЛ Братск;3000;выдача обрезана потолком страниц
3849096450;"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""СЕРВИС ИНЖИНИРИНГ СИСТЕМС""";419335;СИС (Иркутск);1156;обойдено
7704784450;"АО ""ИНТЕР РАО-ЭЛЕКТРОГЕНЕРАЦИЯ""";;;0;в каталоге площадки нет
5406323202;"АО ""ТГК-11""";;;0;в каталоге площадки нет
4217168581;АЦ Гермес (ГКК);138322;АЦ Гермес (ГКК) (Новокузнецк);537;обойдено
5908007560;"АО ""ГАЛОПОЛИМЕР ПЕРМЬ""";283484;ГАЛОПОЛИМЕР ПЕРМЬ (Пермь);0;обойдено
7530000048;"ПАО ""ППГХО""";72075;ППГХО (Краснокаменск);0;обойдено
1102054991;"ООО ""ГАЗПРОМ ПЕРЕРАБОТКА""";;;0;в каталоге площадки нет
