inn;predpriyatie;klyuch;tender_id;predmet;sozdan;do;company_id;company;chya_zakupka
2130230898;ТД Транспортное машиностроение;компрессор;1223110;"Открытый запрос предложений на выполнение работ по ремонту локальных компрессоров, осушителей (Atlas Copco, BOGE) в ООО ""ПК ""Промтрактор"" (id1223110)";29.07.2026;11.08.2026 в 14:00;389400;ТД Транспортное машиностроение;её собственная
2130230898;ТД Транспортное машиностроение;компрессор;1221316;"Открытый запрос предложений на выполнение работ по капитальному ремонту винтового блока компрессоров Atlas Copco GA250, BOGE S180, BOGE S90-2, BOGE S61-2 в ООО ""Промлит"" (id1221316)";23.07.2026;31.07.2026 в 14:00;389400;ТД Транспортное машиностроение;её собственная
2130230898;ТД Транспортное машиностроение;компрессор;1220062;"Открытый запрос предложений на поставку компрессора П-220 для ООО ""Промлит"" (id1220062)";21.07.2026;28.07.2026 в 14:00;389400;ТД Транспортное машиностроение;её собственная
2130230898;ТД Транспортное машиностроение;компрессор;1217503;"Открытый запрос предложений на выполнение работ по капитальному ремонту центробежного компрессора №4, 43ВЦ-160/9 ООО ""ПК ""ЧАЗ"" (id1217503)";14.07.2026;29.07.2026 в 14:00;389400;ТД Транспортное машиностроение;её собственная
2130230898;ТД Транспортное машиностроение;компрессор;1208992;"Открытый запрос предложений на выполнение работ по балансировке ротора центробежного компрессора 43ВЦ-160/9М2 в ООО ""ПК ""ЧАЗ"" (id1208992)";23.06.2026;30.06.2026 в 14:00;389400;ТД Транспортное машиностроение;её собственная
2130230898;ТД Транспортное машиностроение;компрессор;1206621;"Открытый запрос предложений на поставку комплектующих для компрессоров в ООО ""ЭСР"" (id1206621)";17.06.2026;29.06.2026 в 14:00;389400;ТД Транспортное машиностроение;её собственная
2130230898;ТД Транспортное машиностроение;компрессор;1206594;"Открытый запрос предложений на поставку компрессора П-220 для ООО ""ЭСР"" (id1206594)";17.06.2026;29.06.2026 в 14:00;389400;ТД Транспортное машиностроение;её собственная
2130230898;ТД Транспортное машиностроение;компрессор;1196995;"Открытый запрос предложений на поставку масло Total Dachis Id 46 (для компрессоров) в июне 2026 г. для ООО ""Промлит"" (id1196995)";26.05.2026;01.06.2026 в 11:00;389400;ТД Транспортное машиностроение;её собственная
2130230898;ТД Транспортное машиностроение;компрессор;1196861;"Открытый запрос предложений на выполнение работ по оптимизации работы центробежного компрессора 43ВЦ-160/9М2 на компрессорной станции ООО ""ПК ""ЧАЗ"" (id1196861)";26.05.2026;09.06.2026 в 14:00;389400;ТД Транспортное машиностроение;её собственная
2130230898;ТД Транспортное машиностроение;компрессор;1196103;"Открытый запрос предложений на выполнение работ по капитальному ремонту винтового блока BS 480 винтового компрессора BOGE S 271 на ООО ""ПК ""ЧАЗ"" в 2026 году (id1196103)";25.05.2026;01.06.2026 в 14:00;389400;ТД Транспортное машиностроение;её собственная
