inn;predpriyatie;vsego;vzyato;chuzhih;pochemu
9717088118;"ООО ""РТ-ИНЖИНИРИНГ""";0;0;0;обойдено
2623026057;"ООО ""КОМПРЕССОР-ТЕХЦЕНТР""";0;0;0;обойдено
5103070023;"АО ""АПАТИТ""";174;174;0;обойдено
5607019523;"АО ""УРАЛЬСКАЯ СТАЛЬ""";0;0;0;обойдено
4501129676;"АО "" НПО ""КУРГАНПРИБОР""";0;0;0;обойдено
3851004128;"ООО ""КНАУФ ГИПС БАЙКАЛ""";0;0;0;обойдено
2705090529;"АО ""МНОГОВЕРШИННОЕ""";0;0;0;обойдено
1658152572;"ООО ""МОНАТ ГРУПП""";0;0;0;обойдено
7708619320;"ПАО ""ОАК""";0;0;0;обойдено
4028001072;"АО ""КАЛУГАГЛАВСНАБ""";0;0;0;обойдено
7406002523;"АО ""КАРАБАШМЕДЬ""";0;0;0;обойдено
1433000147;"АК ""АЛРОСА"" (ПАО)";0;0;0;обойдено
7202116628;"АО ""СИБУРТЮМЕНЬГАЗ""";0;0;0;обойдено
7713085659;"АО ""ВБД""";0;0;0;обойдено
4715019631;"АО ""ТВСЗ""";0;0;0;обойдено
7714626332;"АО ""ЭЙЧ ЭНД ЭН""";0;0;0;обойдено
8703009509;"АО ""РУДНИК КАРАЛЬВЕЕМ""";0;0;0;обойдено
7707727918;"ООО ""УРАЛМАШ НГО ХОЛДИНГ""";0;0;0;обойдено
5607015014;"ООО ""АККЕРМАНН ЦЕМЕНТ""";0;0;0;обойдено
6607000556;"ПАО ""КОРПОРАЦИЯ ВСМПО-АВИСМА""";0;0;0;обойдено
6626002037;"АО ""УРАЛГИДРОМЕДЬ""";0;0;0;обойдено
7447141540;"ООО  ""КНАУФ ГИПС ЧЕЛЯБИНСК""";0;0;0;обойдено
6310000160;"АО ""СМЗ""";200;200;0;обойдено
7702691545;"ООО ""ЛАБ ИНДАСТРИЗ""";41;41;0;обойдено
2706028675;"ООО ""АГМК""";0;0;0;обойдено
740400188249;ВОЛКОВ АЛЕКСЕЙ ЕВГЕНЬЕВИЧ;0;0;0;обойдено
2434000335;"АО ""ПОЛЮС КРАСНОЯРСК""";0;0;0;обойдено
6230051360;"ООО ""ЗАВОД ТЕХНО""";0;0;0;обойдено
5913001268;"АО ""МЕТАФРАКС КЕМИКАЛС""";0;0;0;обойдено
1651000010;"ПАО ""НИЖНЕКАМСКНЕФТЕХИМ""";0;0;0;обойдено
4704052309;"ООО ""РОКВУЛ-СЕВЕР""";0;0;0;обойдено
7706613770;"ООО ""РН-БУРЕНИЕ""";0;0;0;обойдено
7713748828;"ООО ""АСПЕКС МАШИНОСТРОИТЕЛЬНАЯ КОМПАНИЯ""";0;0;0;обойдено
6646009256;"АО ""ПРОМСОРТ-УРАЛ""";0;0;0;обойдено
4725001168;"ООО ""ЯКОБС ДАУ ЭГБЕРТС РУС""";0;0;0;обойдено
7802849641;"ООО ""ПИВОВАРЕННАЯ КОМПАНИЯ ""БАЛТИКА""";112;112;0;обойдено
1654040701;"АО ""ЭССЕН ПРОДАКШН АГ""";0;0;0;обойдено
5607011852;"ООО ""МЕТАЛЕКС""";0;0;0;обойдено
8603093017;"АО ""ТМК НГС-НИЖНЕВАРТОВСК""";0;0;0;обойдено
1674002165;"ООО ""СОЛЛЕРС АЛАБУГА""";0;0;0;обойдено
3123342289;"ООО ""ТЕХНО ЭНЕРДЖИ""";0;0;0;обойдено
2462004363;"АО ""КЗСК""";0;0;0;обойдено
4823006703;"ПАО ""НЛМК""";130;130;0;обойдено
5433188577;"ООО ""ЗТИ СИБИРЬ""";0;0;0;обойдено
7802118578;"ООО ""ОПХ""";0;0;0;обойдено
