inn;sayt;vhodov;ssylok_vsego;podoshlo;novyh;kak;pochemu
9717088118;https://rte.ru;2;72;16;0;обычно;обойдено
2623026057;https://magnus-prom.ru;8;820;233;25;обычно;обойдено
5103070023;https://www.phosagro.ru;8;47;46;25;обычно;обойдено
7708619320;https://uacrussia.ru;2;315;51;4;без проверки сертификата;обойдено
1433000147;https://alrosa.ru;7;720;134;1;без проверки сертификата;обойдено
2462004363;https://sibur.ru;7;1629;361;0;обычно;обойдено
7707727918;https://www.uralmash-ngo.com;1;36;8;0;обычно;обойдено
5607015014;https://akkermann.ru;6;270;35;0;обычно;обойдено
5911083593;https://vsmpo.ru;8;1010;93;1;обычно;обойдено
7702691545;https://lab-industries.ru;2;92;28;0;обычно;обойдено
3802008546;https://polyus.com;5;392;72;0;обычно;обойдено
5913001268;https://metafrax.ru;1;52;12;1;обычно;обойдено
3123342289;https://tehnonrg.ru;8;3000;2175;25;обычно;обойдено
4823006703;https://nlmk.com;8;1162;426;14;обычно;обойдено
7705739450;https://www.nestle.ru;4;404;157;16;обычно;обойдено
7448000013;https://zinc.ru;5;165;71;1;обычно;обойдено
6664006956;https://uralceramica.ru;5;198;74;0;обычно;обойдено
7455010284;https://alikor.com;1;26;7;0;обычно;обойдено
1650157635;https://new.kamaz-energo.ru;3;131;53;8;обычно;обойдено
7805059867;https://kirovets-ptz.com;8;929;281;0;обычно;обойдено
8602060555;https://www.surgutneftegas.ru;8;1078;119;0;обычно;обойдено
4205081463;https://www.sibcem.ru;3;298;97;0;обычно;обойдено
4221000630;https://organica-nk.ru;8;227;25;0;обычно;обойдено
8603087285;https://nnpo.net;1;60;4;0;обычно;обойдено
6324079869;https://xn--80ab3alkpp.xn--p1ai;1;8;4;0;без проверки сертификата;обойдено
5916015580;https://nytva-maslo.ru;1;19;6;0;обычно;обойдено
5003026493;https://www.burgaz.ru;8;297;73;2;без проверки сертификата;обойдено
7701568891;https://grkb.ru;1;28;6;0;обычно;обойдено
6686095452;https://synergy.ru;8;595;196;25;обычно;обойдено
3528006408;https://www.cfmk.ru;1;78;16;0;обычно;обойдено
6606003385;https://www.uralelektromed.ru;1;24;6;0;обычно;обойдено
7743696750;https://grasys.ru;5;514;199;9;обычно;обойдено
6665002150;https://kumz.ru;3;225;39;0;обычно;обойдено
6685147531;https://spec-cement.ru;2;24;6;1;обычно;обойдено
8905000428;https://nng.gazprom-neft.ru;2;71;22;3;обычно;обойдено
8602067092;https://unipro.energy;8;743;241;25;обычно;обойдено
7453101232;https://chelindleasing.ru;8;4800;0;0;обычно;обойдено
1651057721;https://iplast.com;8;1821;264;18;обычно;обойдено
7705183476;https://www.unirusgroup.ru;1;22;3;0;обычно;обойдено
3325011410;https://hfoods.ru;1;20;7;0;обычно;обойдено
4725001168;https://www.jacobsdouweegberts.com;1;12;4;0;обычно;обойдено
8603093017;http://uprt-nv.ru;1;34;1;0;обычно;обойдено
7802118578;http://www.heineken.ru;5;102;3;0;обычно;обойдено
7713748828;https://aspex.ru;2;154;16;0;обычно;обойдено
1654040701;https://maheev.ru;3;171;42;1;обычно;обойдено
4345465597;https://safe-tec.ru;3;388;192;0;обычно;обойдено
6603014413;https://twinblock.ru;3;323;31;0;обычно;обойдено
7447010227;https://www.chemk.ru;8;625;199;9;обычно;обойдено
6672326854;https://pnevmo.ru;8;1427;333;25;обычно;обойдено
2536314387;https://global-engineer.ru;8;2341;208;25;обычно;обойдено
5838013374;https://startatom.ru;2;103;16;0;обычно;обойдено
