inn;kluch;rol;vsego;vzyato;pochemu
2124009521;2124009521_212401001;organizator;0;0;обойдено
2124009521;2124009521_212401001;zakazchik;0;0;обойдено
2457029066;2457029066_245701001;organizator;0;0;обойдено
2457029066;2457029066_245701001;zakazchik;0;0;обойдено
6612005052;6612005052_661702001;organizator;0;0;обойдено
6612005052;6612005052_661702001;zakazchik;0;0;обойдено
6612005052;6612005052_661201001;organizator;0;0;обойдено
6612005052;6612005052_661201001;zakazchik;0;0;обойдено
7705880068;7705880068_770701001;organizator;0;0;обойдено
7705880068;7705880068_770701001;zakazchik;0;0;обойдено
1650032058;1650032058_165001001;organizator;0;0;обойдено
1650032058;1650032058_165001001;zakazchik;0;0;обойдено
3006006420;3006006420_301501001;organizator;0;0;обойдено
3006006420;3006006420_301501001;zakazchik;0;0;обойдено
8602016725;8602016725_860201001;organizator;0;0;обойдено
8602016725;8602016725_860201001;zakazchik;0;0;обойдено
1656025681;1656025681_165601001;organizator;0;0;обойдено
1656025681;1656025681_165601001;zakazchik;0;0;обойдено
6320005915;6320005915_632401001;organizator;0;0;обойдено
6320005915;6320005915_632401001;zakazchik;0;0;обойдено
1004001744;1004001744_100401001;organizator;0;0;обойдено
1004001744;1004001744_100401001;zakazchik;0;0;обойдено
5504097128;5504097128_550401001;organizator;0;0;обойдено
5504097128;5504097128_550401001;zakazchik;0;0;обойдено
5009034660;5009034660_500901001;organizator;0;0;обойдено
5009034660;5009034660_500901001;zakazchik;0;0;обойдено
7726671234;7726671234_366501001;organizator;0;0;обойдено
7726671234;7726671234_366501001;zakazchik;0;0;обойдено
7830000426;7830000426_783450001;organizator;0;0;обойдено
7830000426;7830000426_783450001;zakazchik;0;0;обойдено
7830000426;7830000426_784201001;organizator;48;48;обойдено
7830000426;7830000426_784201001;zakazchik;23;23;обойдено
7830000426;7830000426-deleted-397988_783450001-deleted-397988;organizator;0;0;обойдено
7830000426;7830000426-deleted-397988_783450001-deleted-397988;zakazchik;0;0;обойдено
2221064060;2221064060_222401001;organizator;0;0;обойдено
2221064060;2221064060_222401001;zakazchik;0;0;обойдено
5249002485;5249002485_525350001;organizator;6;6;обойдено
5249002485;5249002485_525350001;zakazchik;4;4;обойдено
5249002485;5249002485_524901001;organizator;975;975;обойдено
5249002485;5249002485_524901001;zakazchik;974;974;обойдено
3803100054;3803100054_380401001;organizator;0;0;обойдено
3803100054;3803100054_380401001;zakazchik;0;0;обойдено
4205003440;4205003440_420501001;organizator;0;0;обойдено
4205003440;4205003440_420501001;zakazchik;0;0;обойдено
7118004789;7118004789_711801001;organizator;0;0;обойдено
7118004789;7118004789_711801001;zakazchik;0;0;обойдено
6665002150;6665002150_660850001;organizator;0;0;обойдено
6665002150;6665002150_660850001;zakazchik;0;0;обойдено
6665002150;6665002150_661201001;organizator;0;0;обойдено
6665002150;6665002150_661201001;zakazchik;0;0;обойдено
7705581646;7705581646_391301001;organizator;0;0;обойдено
7705581646;7705581646_391301001;zakazchik;0;0;обойдено
3849096450;3849096450_384901001;organizator;0;0;обойдено
3849096450;3849096450_384901001;zakazchik;0;0;обойдено
7720613388;7720613388_504201001;organizator;0;0;обойдено
7720613388;7720613388_504201001;zakazchik;0;0;обойдено
5907001774;5907001774_590701001;organizator;0;0;обойдено
5907001774;5907001774_590701001;zakazchik;0;0;обойдено
7704784450;7704784450_890443001;organizator;0;0;обойдено
7704784450;7704784450_890443001;zakazchik;0;0;обойдено
7704784450;7704784450_770401001;organizator;0;0;обойдено
7704784450;7704784450_770401001;zakazchik;0;0;обойдено
5406323202;5406323202_540701001;organizator;0;0;обойдено
5406323202;5406323202_540701001;zakazchik;0;0;обойдено
5406323202;5406323202_550301001;organizator;0;0;обойдено
5406323202;5406323202_550301001;zakazchik;0;0;обойдено
1433000147;1433000147_143301001;organizator;4;4;обойдено
1433000147;1433000147_143301001;zakazchik;4;4;обойдено
5908007560;5908007560_590801001;organizator;0;0;обойдено
5908007560;5908007560_590801001;zakazchik;0;0;обойдено
7530000048;7530000048_753001001;organizator;0;0;обойдено
7530000048;7530000048_753001001;zakazchik;0;0;обойдено
7723006328;7723006328_772301001;organizator;0;0;обойдено
7723006328;7723006328_772301001;zakazchik;0;0;обойдено
1644003838;1644003838_164445008;organizator;0;0;обойдено
1644003838;1644003838_164445008;zakazchik;0;0;обойдено
1644003838;1644003838_164401001;organizator;0;0;обойдено
1644003838;1644003838_164401001;zakazchik;0;0;обойдено
6629022962;6629022962_668201001;organizator;0;0;обойдено
6629022962;6629022962_668201001;zakazchik;0;0;обойдено
6629022962;6629022962_785150001;organizator;0;0;обойдено
6629022962;6629022962_785150001;zakazchik;0;0;обойдено
4312126856;4312126856_431201001;organizator;0;0;обойдено
4312126856;4312126856_431201001;zakazchik;0;0;обойдено
1651025328;1651025328_165101001;organizator;0;0;обойдено
1651025328;1651025328_165101001;zakazchik;0;0;обойдено
7204095194;7204095194_720301001;organizator;0;0;обойдено
7204095194;7204095194_720301001;zakazchik;0;0;обойдено
7422000795;7422000795_785150001;organizator;0;0;обойдено
7422000795;7422000795_785150001;zakazchik;0;0;обойдено
7422000795;7422000795_741301001;organizator;0;0;обойдено
7422000795;7422000795_741301001;zakazchik;1;1;обойдено
7422000795;7422000795-deleted_785150001-deleted;organizator;0;0;обойдено
7422000795;7422000795-deleted_785150001-deleted;zakazchik;0;0;обойдено
5919470019;5919470019_591901001;organizator;2;2;обойдено
5919470019;5919470019_591901001;zakazchik;2;2;обойдено
5001071638;5001071638_500101001;organizator;0;0;обойдено
5001071638;5001071638_500101001;zakazchik;0;0;обойдено
5001071638;5001071638_665843001;organizator;0;0;обойдено
5001071638;5001071638_665843001;zakazchik;0;0;обойдено
