inn;predpriyatie;nomer;predmet;zakazchik;summa;data;stadiya;ssylka
5103070023;"АО ""АПАТИТ""";;Общая твердая стоимость выполнения работ с учетом ТМЦ по в/д №АП.Ч-160-01-28-537ТСГВС;;;;;https://www.roseltorg.ru/procedure/B1203251356035/2
5103070023;"АО ""АПАТИТ""";;B1203251356035 (Лот 2);;;;;https://www.roseltorg.ru/procedure/B1203251356035/2
5103070023;"АО ""АПАТИТ""";;Выполнение общестроительных работ;;;;;https://www.roseltorg.ru/procedure/B2102251220409/1
5103070023;"АО ""АПАТИТ""";;B2102251220409 (Лот 1);;;;;https://www.roseltorg.ru/procedure/B2102251220409/1
5103070023;"АО ""АПАТИТ""";;«Капитальный ремонт конструкций металлической эстакады газохода от здания ЦМС к выхлопной трубе ЦФК-2 БФ АО «Апатит»;;;;;https://www.roseltorg.ru/procedure/B2201250809262/2
5103070023;"АО ""АПАТИТ""";;B2201250809262 (Лот 2);;;;;https://www.roseltorg.ru/procedure/B2201250809262/2
5103070023;"АО ""АПАТИТ""";;Система противопожарной защиты слада готовой продукции 4700т. ЦФУ;;;;;https://www.roseltorg.ru/procedure/B2804250823348/1
5103070023;"АО ""АПАТИТ""";;B2804250823348 (Лот 1);;;;;https://www.roseltorg.ru/procedure/B2804250823348/1
5103070023;"АО ""АПАТИТ""";;«На выполнение ремонта дорожной инфраструктуры БФ АО «Апатит» в 2025 году»;;;;;https://www.roseltorg.ru/procedure/B1604250849204/1
5103070023;"АО ""АПАТИТ""";;B1604250849204 (Лот 1);;;;;https://www.roseltorg.ru/procedure/B1604250849204/1
5103070023;"АО ""АПАТИТ""";;Замена КЛ фид 181,182 на ПС 18(БНС ЦТВГВС);;;;;https://www.roseltorg.ru/procedure/B0304251020313/1
5103070023;"АО ""АПАТИТ""";;B0304251020313 (Лот 1);;;;;https://www.roseltorg.ru/procedure/B0304251020313/1
5103070023;"АО ""АПАТИТ""";;Выполнение СМР, ПНР по Тех. перевооружению слива-налива СК олеума по жд №68 ( сливные стенды);;;;;https://www.roseltorg.ru/procedure/B0204251348413/1
5103070023;"АО ""АПАТИТ""";;B0204251348413 (Лот 1);;;;;https://www.roseltorg.ru/procedure/B0204251348413/1
