inn;predpriyatie;zakazchik_realnyy;chey_kontakt;chelovek;dolzhnost;telefon;dobavochnyy;pochta;po_voprosam;nomer_procedury;predmet;klass;sila;ssylka;kak;citata
1435133907;ОКРУЖНАЯ АДМИНИСТРАЦИЯ ГОРОДА ЯКУТСКА;МУНИЦИПАЛЬНОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ;уполномоченный орган, машина у заказчика;Протопопова Н. А.;;7-4112-429756;;gst_zakup@mail.ru;ответственное должностное лицо заказчика;;"Выполнение работ по объекту: ""Автомобильная газонаполнительная компрессорная станция (АГНКС) в городском округе ""город Якутск"" (Вынос наружных сетей электроснабжения)";2;5;https://zakupki.gov.ru/epz/order/notice/ea44/view/common-info.html?regNumber=0116300000126000908;без проверки сертификата;Республика Саха (Якутия), г. Якутск, ул. Октябрьская, 20/1 Ответственное должностное лицо Протопопова Н. А. Адрес электронной почты gst_zakup@mail.ru Номер контактного телефона 7-4112-429756 Дополнительная информация Информация отсутствует Регион Саха (Якутия) Респ Информация о процедуре закупки Дата и время начала срока под
2801138822;УПРАВЛЕНИЕ ГОСУДАРСТВЕННОГО ЗАКАЗА АМУРСКОЙ ОБЛАСТИ;МИНИСТЕРСТВО ЗДРАВООХРАНЕНИЯ АМУРСКОЙ ОБЛАСТИ;уполномоченный орган, машина у заказчика;Романюк И. В.;;8-4162-224493;;obl@gz.amurobl.ru;ответственное должностное лицо заказчика;;Поставка медицинского изделия: Система подачи или генератор оксида азота (NO) с монитором концентраций газов NO и NO2, в рамках региональной программы «Охрана материнства и детства»;2;5;https://zakupki.gov.ru/epz/order/notice/ea44/view/common-info.html?regNumber=0123200000326000795;без проверки сертификата;00, Амурская область, город Благовещенск, ул.им.Ленина, 135 Ответственное должностное лицо Романюк И. В. Адрес электронной почты obl@gz.amurobl.ru Номер контактного телефона 8-4162-224493 Факс 8 (4162) 224474 Дополнительная информация Ответственное должностное лицо Заказчика: Павлова Татьяна Викторовна, тел.: 8 (4162)49-6
2721180057;КОМИТЕТ ГОСУДАРСТВЕННОГО ЗАКАЗА ПРАВИТЕЛЬСТВА ХАБАРОВСКОГО КРАЯ;КРАЕВОЕ ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ЗДРАВООХРАНЕНИЯ;уполномоченный орган, машина у заказчика;Лукьянова Е. К.;;7-4212-702339;;resurskkb1@mail.ru;ответственное должностное лицо заказчика;;Оказание услуг по техническому обслуживанию кислородн о-газификационной станц ии на базе двух газификаторов холодных криогенных и кислородопровода низкого давления;2;5;https://zakupki.gov.ru/epz/order/notice/ea44/view/common-info.html?regNumber=0122200002526002808;без проверки сертификата;ния Хабаровский край, Хабаровск г, ул. Фрунзе, 71, каб. 512 Ответственное должностное лицо Лукьянова Е. К. Адрес электронной почты resurskkb1@mail.ru Номер контактного телефона 7-4212-702339 Дополнительная информация КГБУЗ ККБ ИМЕНИ С.И. СЕРГЕЕВА. Место нахождения: Российская Федерация, 680009, Хабаровский край, Хабаровск г
3666159455;МИНИСТЕРСТВО ПО РЕГУЛИРОВАНИЮ КОНТРАКТНОЙ СИСТЕМЫ В СФЕРЕ ЗАКУПОК ВОРОНЕЖСКОЙ ОБЛАСТИ;БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ЗДРАВООХРАНЕНИЯ ВОРОНЕЖСКОЙ ОБЛАСТИ;уполномоченный орган, машина у заказчика;Скоркина Н. В.;;7-473-2126402;;zakupki@govvrn.ru;ответственное должностное лицо заказчика;;2026-04282_Поставка оборудования ( Компрессор ная установка воздухоподготовки с системой осушки, фильтрации и стерилизации для генерации стерильного воздуха);2;5;https://zakupki.gov.ru/epz/order/notice/ea44/view/common-info.html?regNumber=0131200001026004408;без проверки сертификата;, Воронежская область, г.Воронеж, ул. 20-летия ВЛКСМ, д. 59 Ответственное должностное лицо Скоркина Н. В. Адрес электронной почты zakupki@govvrn.ru Номер контактного телефона 7-473-2126402 Дополнительная информация БУЗ ВО ВОКБ №1. Место нахождения: Российская Федерация, 394066, Воронежская обл, Воронеж г, Московский пр-кт,
6315909640;КОМИТЕТ ПО ОРГАНИЗАЦИИ ТОРГОВ САМАРСКОЙ ОБЛАСТИ;ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ЗДРАВООХРАНЕНИЯ САМАРСКОЙ ОБЛАСТИ;уполномоченный орган, машина у заказчика;Гаврюшов И. В.;;8-846-2143315;;GavryushovIV@samregion.ru;ответственное должностное лицо заказчика;;"Выполнение работ по техническому обслуживанию кислородн о-газификационных станц ий Государственного бюджетного учреждения здравоохранения Самарской области ""Тольяттинская городская клиническая больниц";2;5;https://zakupki.gov.ru/epz/order/notice/ea44/view/common-info.html?regNumber=0142200001326014178;без проверки сертификата;рация, 443068, Самарская обл, Самара г, УЛИЦА СКЛЯРЕНКО, 20 Ответственное должностное лицо Гаврюшов И. В. Адрес электронной почты GavryushovIV@samregion.ru Номер контактного телефона 8-846-2143315 Факс 7-846-3351228 Дополнительная информация Информация отсутствует Регион Самарская обл Информация о процедуре закупки Дата и
5031006040;АДМИНИСТРАЦИЯ БОГОРОДСКОГО ГОРОДСКОГО ОКРУГА МОСКОВСКОЙ ОБЛАСТИ;МУНИЦИПАЛЬНОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ БОГОРОДСКОГО ГОРОДСКОГО ОКРУГА;уполномоченный орган, машина у заказчика;Исаева А. Е.;;7-495-5400093;;zakaznoginsk@gmail.com;ответственное должностное лицо заказчика;;Выполнение работ по ремонту винтов ого компрессор а;2;5;https://zakupki.gov.ru/epz/order/notice/ea44/view/common-info.html?regNumber=0148300000626000820;без проверки сертификата;ская Федерация, 142400, Московская обл, УЛ СОВЕТСКАЯ, Д. 42 Ответственное должностное лицо Исаева А. Е. Адрес электронной почты zakaznoginsk@gmail.com Номер контактного телефона 7-495-5400093 Дополнительная информация Информация отсутствует Регион Московская обл Информация о процедуре закупки Дата и время начала срока по
5190198362;КОМИТЕТ ПО КОНКУРЕНТНОЙ ПОЛИТИКЕ МУРМАНСКОЙ ОБЛАСТИ;ГОСУДАРСТВЕННОЕ ОБЛАСТНОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ЗДРАВООХРАНЕНИЯ;уполномоченный орган, машина у заказчика;Баранник Е. А.;;7-8152-486848;;goszakaz@gov-murman.ru;ответственное должностное лицо заказчика;;Оказание услуг по техническому обслуживанию кислородн ой станц ии NOVAIR 95-520 для нужд филиала ГОБУЗ «МОКБ им. П.А. Баяндина» - Кандалакшская центральная районная больница;2;5;https://zakupki.gov.ru/epz/order/notice/ea44/view/common-info.html?regNumber=0149200002326003927;без проверки сертификата;"ия, 183038, Мурманская обл, Мурманск г, ПРОСПЕКТ ЛЕНИНА, 71 Ответственное должностное лицо Баранник Е. А. Адрес электронной почты goszakaz@gov-murman.ru Номер контактного телефона 7-8152-486848 Дополнительная информация ГОБУЗ ""МОКБ ИМ. П.А. БАЯНДИНА"". Место нахождения: 183032, МУРМАНСКАЯ ОБЛАСТЬ, г.о. ГОРОД МУРМАНСК, Г. МУ"
8620008290;АДМИНИСТРАЦИЯ НИЖНЕВАРТОВСКОГО РАЙОНА;АДМИНИСТРАЦИЯ ГОРОДСКОГО ПОСЕЛЕНИЯ НОВОАГАНСК;уполномоченный орган, машина у заказчика;Селезнева О. А.;;8-34664-9867;;SeleznevaOA@NVraion.ru;ответственное должностное лицо заказчика;;Поставка, монтаж и пусконаладка роторных воздуходувок с воздушным охлаждением в блочном контейнере в пгт. Новоаганск (для КОС 600);2;5;https://zakupki.gov.ru/epz/order/notice/ea44/view/common-info.html?regNumber=0187300010326000383;без проверки сертификата;"Автономный округ - Югра , Г. Нижневартовск, УЛ. Ленина, Д.6 Ответственное должностное лицо Селезнева О. А. Адрес электронной почты SeleznevaOA@NVraion.ru Номер контактного телефона 8-34664-98670 Дополнительная информация КОНТАКТНАЯ ИНФОРМАЦИЯ: Заказчик : АДМИНИСТРАЦИЯ ГОРОДСКОГО ПОСЕЛЕНИЯ НОВОАГАНСК; Контактная информация :"
7704515009;ДЕПАРТАМЕНТ ГОРОДА МОСКВЫ ПО КОНКУРЕНТНОЙ ПОЛИТИКЕ;ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ЗДРАВООХРАНЕНИЯ ГОРОДА МОСКВЫ;уполномоченный орган, машина у заказчика;Служба О. О.;;7-495-9579977;;mostender@mos.ru;ответственное должностное лицо заказчика;;Оказание услуг по эксплуатации и техническому обслуживанию кислородных газификационных станц ий, вакуумно- компрессорн ых станц ий и системы подачи газов;2;5;https://zakupki.gov.ru/epz/order/notice/ea44/view/common-info.html?regNumber=0173200001426001094;без проверки сертификата;0, МОСКВА, УЛ МАКАРЕНКО, Дом (Корпус/строение) Д. 4, СТР. 1 Ответственное должностное лицо Служба О. О. Адрес электронной почты mostender@mos.ru Номер контактного телефона 7-495-9579977 Факс +7 (495) 957-99-77 Дополнительная информация Информация отсутствует Регион Москва Информация о процедуре закупки Дата и время начал
8901017607;ДЕПАРТАМЕНТ ГОСУДАРСТВЕННОГО ЗАКАЗА ЯМАЛО-НЕНЕЦКОГО АВТОНОМНОГО ОКРУГА;ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ЗДРАВООХРАНЕНИЯ ЯМАЛО-НЕНЕЦКОГО АВТОНОМНОГО ОКРУГА;уполномоченный орган, машина у заказчика;Митрофанова О. Н.;;8-34922-5117;;zru.dgz@yanao.ru;ответственное должностное лицо заказчика;;Оказание услуг по техническому обслуживанию генератор а азота Peak Scientific модель Genius XE 35;2;5;https://zakupki.gov.ru/epz/order/notice/ea44/view/common-info.html?regNumber=0190200000326005725;без проверки сертификата;-НЕНЕЦКИЙ АВТОНОМНЫЙ ОКРУГ , Г САЛЕХАРД, УЛ ЧУБЫНИНА, Д. 14 Ответственное должностное лицо Митрофанова О. Н. Адрес электронной почты zru.dgz@yanao.ru Номер контактного телефона 8-34922-51177 Дополнительная информация КОНТАКТНАЯ ИНФОРМАЦИЯ: Заказчик : ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ЗДРАВООХРАНЕНИЯ ЯМАЛО-НЕНЕЦКОГО АВТОНОМ
