inn;company_id;predpriyatie;vsego_na_ploshchadke;vzyato;zakupok;po_sekciyam;pochemu
9717088118;10235;"ООО ""РТ-ИНЖИНИРИНГ""";23;23;23;"{""commerce"": 23, ""trade_portal"": 23}";обойдено
2705090529;5177;"АО ""МНОГОВЕРШИННОЕ""";164;164;164;"{""commerce"": 164, ""nelikvid"": 1}";обойдено
1433000147;8089;"АК ""АЛРОСА"" (ПАО)";5;5;5;"{""fz223"": 5}";обойдено
7202116628;6322;"АО ""СИБУРТЮМЕНЬГАЗ""";42;42;42;"{""commerce"": 42}";обойдено
4715019631;12907;"АО ""ТВСЗ""";0;0;0;{};обойдено
7714626332;9985;"АО ""ЭЙЧ ЭНД ЭН""";16;16;16;"{""commerce"": 16, ""trade_portal"": 7, ""nelikvid"": 7}";обойдено
7707727918;5847;"ООО ""УРАЛМАШ НГО ХОЛДИНГ""";2180;2180;2166;"{""commerce"": 2180, ""trade_portal"": 1, ""nelikvid"": 56}";обойдено
2434000335;12782;"АО ""ПОЛЮС КРАСНОЯРСК""";0;0;0;{};обойдено
6230051360;9729;"ООО ""ЗАВОД ТЕХНО""";1;1;1;"{""commerce"": 1, ""trade_portal"": 1}";обойдено
5913001268;159;"АО ""МЕТАФРАКС КЕМИКАЛС""";1;1;1;"{""commerce"": 1}";обойдено
4725001168;12162;"ООО ""ЯКОБС ДАУ ЭГБЕРТС РУС""";0;0;0;{};обойдено
7802849641;18425;"ООО ""ПИВОВАРЕННАЯ КОМПАНИЯ ""БАЛТИКА""";2;2;2;"{""commerce"": 2}";обойдено
4823006703;12632;"ПАО ""НЛМК""";0;0;0;{};обойдено
6673092045;5905;"АО ""ОКБ ""НОВАТОР""";1612;1612;1594;"{""fz223"": 1478, ""commerce"": 134, ""nelikvid"": 107}";обойдено
7705739450;10691;"ООО ""НЕСТЛЕ РОССИЯ""";1;1;1;"{""commerce"": 1, ""trade_portal"": 1}";обойдено
8602060555;4844;"ПАО ""СУРГУТНЕФТЕГАЗ""";4;4;4;"{""commerce"": 4}";обойдено
8602060555;13468;"ПАО ""СУРГУТНЕФТЕГАЗ""";6;6;6;"{""commerce"": 6, ""zakupki_biznes"": 6}";обойдено
4205081463;9839;"ООО ""ТД ""СИБИРСКИЙ ЦЕМЕНТ""";1;1;1;"{""commerce"": 1}";обойдено
