inn;predpriyatie;kontakt;tip;vid_nomera;chelovek;istochnik;ssylka;kontekst
0268000188;"МУП ""СТЕРЛИТАМАКВОДОКАНАЛ""";+73473279038;телефон;диспетчерская;;обход сайта (3-я сессия);http://vodokanal-str.ru/;(3473) 24-01-15 Аварийно-диспетчерская служба +7 (3473) 24-02-90 Абонентские отделы: МКД +7 (3473) 27-90-38 Частный сектор +7 (
0268000188;"МУП ""СТЕРЛИТАМАКВОДОКАНАЛ""";+73473240115;телефон;приёмная;;обход сайта (3-я сессия);http://vodokanal-str.ru/;аница Подключение объекта к сетям водоснабжения Узнать больше Контакты Приемная директора +7 (3473) 24-01-15 Аварийно-диспетчерс
0268000188;"МУП ""СТЕРЛИТАМАКВОДОКАНАЛ""";+73473240491;телефон;отдел;;обход сайта (3-я сессия);http://vodokanal-str.ru/;ентские отделы: МКД +7 (3473) 27-90-38 Частный сектор +7 (3473) 24-01-97 Договорной отдел +7 (3473) 24-04-91 Подробнее Время раб
0268000188;"МУП ""СТЕРЛИТАМАКВОДОКАНАЛ""";+73473240197;телефон;отдел;;обход сайта (3-я сессия);http://vodokanal-str.ru/;рская служба +7 (3473) 24-02-90 Абонентские отделы: МКД +7 (3473) 27-90-38 Частный сектор +7 (3473) 24-01-97 Договорной отдел +7
0268000188;"МУП ""СТЕРЛИТАМАКВОДОКАНАЛ""";+73473240290;телефон;приёмная;;обход сайта (3-я сессия);http://vodokanal-str.ru/;знать больше Контакты Приемная директора +7 (3473) 24-01-15 Аварийно-диспетчерская служба +7 (3473) 24-02-90 Абонентские отделы:
0268000188;"МУП ""СТЕРЛИТАМАКВОДОКАНАЛ""";+79174508010;телефон;мобильный;;обход сайта (3-я сессия);http://vodokanal-str.ru/contacts;"&nbsp; &nbsp; - абонентский отдел (МКД Стерлитамакского района) 8(3473) 27-90-38, вн 340, 8-917-450-80-10 8-987-020-16-30 8(3"
0268000188;"МУП ""СТЕРЛИТАМАКВОДОКАНАЛ""";+79872407040;телефон;мобильный;;обход сайта (3-я сессия);http://vodokanal-str.ru/contacts;";&nbsp; - абонентский отдел (частный сектор г.Стерлитамак)&nbsp; 8(3473) 24-01-97, вн 313 8-987-240-70-40 &nbsp;&nbsp;&nbsp;&"
0268000188;"МУП ""СТЕРЛИТАМАКВОДОКАНАЛ""";+79870201630;телефон;мобильный;;обход сайта (3-я сессия);http://vodokanal-str.ru/contacts;абонентский отдел (МКД Стерлитамакского района) 8(3473) 27-90-38, вн 340, 8-917-450-80-10 8-987-020-16-30 8(3473)33-90-38 8(3
0268000188;"МУП ""СТЕРЛИТАМАКВОДОКАНАЛ""";+73473339038;телефон;мобильный;;обход сайта (3-я сессия);http://vodokanal-str.ru/contacts;л (МКД Стерлитамакского района) 8(3473) 27-90-38, вн 340, 8-917-450-80-10 8-987-020-16-30 8(3473)33-90-38 8(3473)24-30-84 &nb
0268000188;"МУП ""СТЕРЛИТАМАКВОДОКАНАЛ""";+73473339026;телефон;отдел;;обход сайта (3-я сессия);http://vodokanal-str.ru/contacts;"bsp;&nbsp;&nbsp;&nbsp; - абонентский отдел (НП в г.Стерлитамаке) 8(3473) 24-01-15, вн 314 8(3473) 33-90-26 Схема проезда Вконт"
0268000188;"МУП ""СТЕРЛИТАМАКВОДОКАНАЛ""";+73473243084;телефон;мобильный;;обход сайта (3-я сессия);http://vodokanal-str.ru/contacts;"акского района) 8(3473) 27-90-38, вн 340, 8-917-450-80-10 8-987-020-16-30 8(3473)33-90-38 8(3473)24-30-84 &nbsp; &nbsp;&nbsp;"
0268000188;"МУП ""СТЕРЛИТАМАКВОДОКАНАЛ""";+79174508090;телефон;мобильный;;обход сайта (3-я сессия);http://vodokanal-str.ru/about;"тамакский р-н: с. Мариинский. Мобильные номера (MAX прием показаний): +7 (987) 240-70-40; +7 (917) 450-80-90. Городской номер: +"
0268000188;"МУП ""СТЕРЛИТАМАКВОДОКАНАЛ""";+73473240376;телефон;диспетчерская;;обход сайта (3-я сессия);http://vodokanal-str.ru/about;одоканал ТЕЛЕФОН ГОРЯЧЕЙ ЛИНИИ (Аварийно-диспетчерская служба (АДС)): +7(3473) 24-02-90 и +7(3473) 24-03-76 (круглосуточно). Аб
0268000188;"МУП ""СТЕРЛИТАМАКВОДОКАНАЛ""";+73473235382;телефон;номер предприятия;;обход сайта (3-я сессия);http://vodokanal-str.ru/about;"доканал» ГО г. Стерлитамак, ул. Днепровская, 3».&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; Тел. 8 (3473) 23-53-82 Механические грабли"
0268000188;"МУП ""СТЕРЛИТАМАКВОДОКАНАЛ""";priemnaya@vodokanal-str.ru;почта;приёмная;;обход сайта (3-я сессия);http://vodokanal-str.ru/;кты Абонентам Вакансии [тел: +73473240115] +7 (3473) 24-01-15 [email: priemnaya@vodokanal-str.ru] priemnaya@vodokana
0268000188;"МУП ""СТЕРЛИТАМАКВОДОКАНАЛ""";stervod@mail.ru;почта;общая почта;;обход сайта (3-я сессия);http://vodokanal-str.ru/;т? Расскажите о проблемах с ЖКХ Написать о проблеме Вконтакте [email: Stervod@mail.ru] mail Новости О пре
0268000188;"МУП ""СТЕРЛИТАМАКВОДОКАНАЛ""";stervod6@mail.ru;почта;общая почта;;обход сайта (3-я сессия);http://vodokanal-str.ru/information/#informatsiya-proizvodstvenno-tekhnicheskogo-otdela-edinoe-okno;няться повышающий коэффициент 2 (пункт 123.2 Правил). E-mail: [email: stervod6@mail.ru] stervod6@mail.ru П
0276144176;"ООО ""СЛАНЦЫ""";+78137471003;телефон;номер предприятия;;обход сайта (3-я сессия);http://slantsy.ru/;ица Заводская, дом 1 E-MAIL info@shales.su oooslantsy@yandex.ru ТЕЛЕФОН +7 (81374) 71-000 +7 (81374) 71-003 (Автоответчик) Warn
0276144176;"ООО ""СЛАНЦЫ""";+78137471000;телефон;номер предприятия;;обход сайта (3-я сессия);http://slantsy.ru/;, город Сланцы, улица Заводская, дом 1 E-MAIL info@shales.su oooslantsy@yandex.ru ТЕЛЕФОН +7 (81374) 71-000 +7 (81374) 71-003 (
0276144176;"ООО ""СЛАНЦЫ""";info@shales.su;почта;общая почта;;обход сайта (3-я сессия);http://slantsy.ru/;ные организации и ПБОЮЛ. Предложения принимаются по эл. почте [email: info@shales.su] info@shales.su . О
0276144176;"ООО ""СЛАНЦЫ""";oooslantsy@yandex.ru;почта;общая почта;;обход сайта (3-я сессия);http://slantsy.ru/;кий район, город Сланцы, улица Заводская, дом 1 E-MAIL info@shales.su oooslantsy@yandex.ru ТЕЛЕФОН +7 (81374)
2204079002;"ООО ""БИЙСКПРОМВОДЫ""";+73854306650;телефон;номер предприятия;;обход сайта (3-я сессия);http://biyskpromvody.ru/;"&quot; &nbsp; © ООО ""БИЙСКПРОМВОДЫ"", 2006-2026 Контактная информация Карта сайта Телефон: +7 (3854) 30-66-50 Дизайн сайта Создан"
2907015309;"АО ""АВТОДОРМОСТ""";+78183660137;телефон;номер предприятия;;обход сайта (3-я сессия);http://adormost.ru/;50 Архангельская область, Вельский район, д. Лукинская, ул. Зелёная, д.1 adormost@mail.ru (81836) 6-01-37 Политика обработки
2907015309;"АО ""АВТОДОРМОСТ""";adormost@mail.ru;почта;общая почта;;обход сайта (3-я сессия);http://adormost.ru/;Архангельская область, Вельский район, д. Лукинская, ул. Зелёная, д.1 adormost@mail.ru (81836) 6-01-37 Пол
3453004143;"ООО ""КАМЫШИНСКАЯ ТЭЦ""";+78445721936;телефон;номер предприятия;;обход сайта (3-я сессия);http://ktec.com.ru/;обл., г. Камышин, ул. Ленина, 1 e-mail:ktec@ktec.com.ru Тел.: +7 (8445) 76-94-59 Факс: +7 (8445) 72-19-36 © 2026 — ООО «Камыш
3453004143;"ООО ""КАМЫШИНСКАЯ ТЭЦ""";+78445769459;телефон;номер предприятия;;обход сайта (3-я сессия);http://ktec.com.ru/;ая Федерация, Волгоградская обл., г. Камышин, ул. Ленина, 1 e-mail:ktec@ktec.com.ru Тел.: +7 (8445) 76-94-59 Факс: +7 (8445) 72-
3453004143;"ООО ""КАМЫШИНСКАЯ ТЭЦ""";+78445793140;телефон;номер предприятия;;обход сайта (3-я сессия);https://ktec.com.ru/kontaktyi/;"ая ТЭЦ"" ​403874, Российская Федерация, Волгоградская обл., г. Камышин, ул. Ленина, 1 Тел: +7 (8445) 7-93-140 e-mail : [email: ka"
3453004143;"ООО ""КАМЫШИНСКАЯ ТЭЦ""";ktec@ktec.com.ru;почта;общая почта;;обход сайта (3-я сессия);http://ktec.com.ru/;йская Федерация, Волгоградская обл., г. Камышин, ул. Ленина, 1 e-mail:ktec@ktec.com.ru Тел.: +7 (8445) 76-
3453004143;"ООО ""КАМЫШИНСКАЯ ТЭЦ""";kamtec@bk.ru;почта;общая почта;;обход сайта (3-я сессия);https://ktec.com.ru/kontaktyi/;., г. Камышин, ул. Ленина, 1 Тел: +7 (8445) 7-93-140 e-mail : [email: kamtec@bk.ru] ktec@ktec.com.ru К
5906006610;"МУП ""ПЕРМГОРЭЛЕКТРОТРАНС""";+73422502550;телефон;номер предприятия;;обход сайта (3-я сессия);http://permget.ru/;"""ПермГорЭлектроТранс"" МУП ""ПермГорЭлектроТранс"" Информационная линия для пассажиров: + 7 (342) 250-25-50 Телефон: +7 (342) 2"
5906006610;"МУП ""ПЕРМГОРЭЛЕКТРОТРАНС""";+73422123042;телефон;номер предприятия;;обход сайта (3-я сессия);http://permget.ru/;"П ""ПермГорЭлектроТранс"" Информационная линия для пассажиров: + 7 (342) 250-25-50 Телефон: +7 (342) 212-30-42 [email: muppget@per"
5906006610;"МУП ""ПЕРМГОРЭЛЕКТРОТРАНС""";+79027956794;телефон;мобильный;;обход сайта (3-я сессия);http://permget.ru/contacts/;62, 71, 81, 82 и 85 личные вещи просим Вас обращаться: в диспетчерскую трамвайного депо: +7 (902) 795-67-94 в диспетчерскую авт
5906006610;"МУП ""ПЕРМГОРЭЛЕКТРОТРАНС""";+79027956510;телефон;мобильный;;обход сайта (3-я сессия);http://permget.ru/contacts/;: в диспетчерскую трамвайного депо: +7 (902) 795-67-94 в диспетчерскую автобусного парка: +7 (902) 795-65-10 Администрация Перми
5906006610;"МУП ""ПЕРМГОРЭЛЕКТРОТРАНС""";+73422819643;телефон;приёмная;;обход сайта (3-я сессия);http://permget.ru/contacts/;я линия для пассажиров: + 7 (342) 250 25 50 Телефон приёмной: +7 (342) 212-30-42 Факс: +7 (342) 281-96-43 E-mail: [email: mup
5906006610;"МУП ""ПЕРМГОРЭЛЕКТРОТРАНС""";muppget@permonline.ru;почта;общая почта;;обход сайта (3-я сессия);http://permget.ru/;я пассажиров: + 7 (342) 250-25-50 Телефон: +7 (342) 212-30-42 [email: muppget@permonline.ru] muppget@permonline
6000013843;"АО ""ПСКОВПАССАЖИРАВТОТРАНС""";+78112294926;телефон;отдел;;обход сайта (3-я сессия);http://pskovbus.ru/;эл.почте: [email: pskbus-kadry2@yandex.ru] pskbus-kadry2@yandex.ru Телефон отдела кадров: 8 (8112) 29-49-26, 69-06-54 Гражданск
6000013843;"АО ""ПСКОВПАССАЖИРАВТОТРАНС""";+78112690639;телефон;номер предприятия;;обход сайта (3-я сессия);http://pskovbus.ru/;29 30 31 Направить обращение Если вы забыли вещи в автобусе - звоните: 8 (8112) 55-81-37 8 (8112) 69-06-39 :: расписания Город
6000013843;"АО ""ПСКОВПАССАЖИРАВТОТРАНС""";+79118880085;телефон;мобильный;;обход сайта (3-я сессия);http://pskovbus.ru/;банк, с помощью приложения СберБанк Онлайн. Заказ автобуса по телефону: 8 (8112) 69-06-53 +7 (911) 888-00-85 Где приобрести прое
6000013843;"АО ""ПСКОВПАССАЖИРАВТОТРАНС""";+78112294901;телефон;номер предприятия;;обход сайта (3-я сессия);http://pskovbus.ru/;лежащая раскрытию Контакты Адрес: 180022, г. Псков, ул. Леона Поземского, д. 123 Телефон: 8 (8112) 29-49-01 E-mail: [email: inf
6000013843;"АО ""ПСКОВПАССАЖИРАВТОТРАНС""";+79813518075;телефон;мобильный;;обход сайта (3-я сессия);http://pskovbus.ru/;"салонов автобусов, принадлежащих АО ""Псковспассажиравтотранс"", обращайтесь по телефонам: +7 981 351 80 75, [email: reklama@ps"
6000013843;"АО ""ПСКОВПАССАЖИРАВТОТРАНС""";+78002509065;телефон;номер предприятия;;обход сайта (3-я сессия);http://pskovbus.ru/;оммунальная, д.77/1 ежедневно с 09:00 до 21:00. Обеденный перерыв с 14:00 до 15:00. Тел.: 8 (800) 250-90-65 :: о предприятии АО
6000013843;"АО ""ПСКОВПАССАЖИРАВТОТРАНС""";+78112690653;телефон;мобильный;;обход сайта (3-я сессия);http://pskovbus.ru/;енно без визита в банк, с помощью приложения СберБанк Онлайн. Заказ автобуса по телефону: 8 (8112) 69-06-53 +7 (911) 888-00-85
6000013843;"АО ""ПСКОВПАССАЖИРАВТОТРАНС""";+78112558137;телефон;номер предприятия;;обход сайта (3-я сессия);http://pskovbus.ru/;23 24 25 26 27 28 29 30 31 Направить обращение Если вы забыли вещи в автобусе - звоните: 8 (8112) 55-81-37 8 (8112) 69-06-39 :
6000013843;"АО ""ПСКОВПАССАЖИРАВТОТРАНС""";info@pskovbus.ru;почта;общая почта;;обход сайта (3-я сессия);http://pskovbus.ru/;Адрес: 180022, г. Псков, ул. Леона Поземского, д. 123 E-mail: [email: info@pskovbus.ru] info@pskovbus.ru *
6000013843;"АО ""ПСКОВПАССАЖИРАВТОТРАНС""";pskbus-kadry2@yandex.ru;почта;общая почта;;обход сайта (3-я сессия);http://pskovbus.ru/;"е вакансии &nbsp; &nbsp;&nbsp; Резюме направлять по эл.почте: [email: pskbus-kadry2@yandex.ru] pskbus-kadry2@yand"
6000013843;"АО ""ПСКОВПАССАЖИРАВТОТРАНС""";reklama@pskovbus.ru;почта;общая почта;;обход сайта (3-я сессия);http://pskovbus.ru/;"ссажиравтотранс"", обращайтесь по телефонам: +7 981 351 80 75, [email: reklama@pskovbus.ru] reklama@pskovbus.r"
6382104070;АО ТПАТП №3;+78482975667;телефон;приёмная;;обход сайта (3-я сессия);http://tpatp-3.ru/contacts/;ранспортное предприятие №3» 445045 Самарская область, г.о.Тольятти. ул.Громовой д.51 тел. 8 (8482) 97-56-67 (Приемная) Режим ра
6382104070;АО ТПАТП №3;+78482975944;телефон;диспетчерская;;обход сайта (3-я сессия);http://tpatp-3.ru/contacts/;"0 до 17:00 (обед с 12:00 до 13:00); Пятница с 08:00 до 16:00 (обед с 12:00 до 13:00) тел. 8 (8482) 97-59-44 (Старший диспетчер)"
6382104070;АО ТПАТП №3;aotpatp3@yandex.ru;почта;общая почта;;обход сайта (3-я сессия);http://tpatp-3.ru/contacts/;с 12:00 до 13:00) тел. 8 (8482) 97-59-44 (Старший диспетчер) E-mail: aotpatp3@yandex.ru Мы в социальной сет
7603072167;"АО ""ЯРОСЛАВСКОЕ АТП""";+74852402483;телефон;номер предприятия;;обход сайта (3-я сессия);http://yaratp.ru/;предприятия входят: Технический осмотр автотранспорта (запись через сайт или по телефонам (4852)40-24-83, 71-02-05 ). Аттест
7603072167;"АО ""ЯРОСЛАВСКОЕ АТП""";+74852500673;телефон;диспетчерская;;обход сайта (3-я сессия);http://yaratp.ru/;бытия, Новости Для работников Историческая справка КОНТАКТЫ Дежурно-диспетчерская служба: (4852)50-06-73 Ярославское автотра
7603072167;"АО ""ЯРОСЛАВСКОЕ АТП""";+74852500641;телефон;номер предприятия;;обход сайта (3-я сессия);http://yaratp.ru/;виаторов 153 площадью от 80 до 500 м2 (хранение, торговые площадки, организация питания). (4852)50-06-41 доб.129 [email: ur@
7603072167;"АО ""ЯРОСЛАВСКОЕ АТП""";ur@yaratp.ru;почта;общая почта;;обход сайта (3-я сессия);http://yaratp.ru/;рговые площадки, организация питания). (4852)50-06-41 доб.129 [email: ur@yaratp.ru] ur@yaratp.ru ВНИМА
7603072167;"АО ""ЯРОСЛАВСКОЕ АТП""";atp@yaratp.ru;почта;общая почта;;обход сайта (3-я сессия);http://yaratp.ru/;Авиаторов 153, приемная: (4852)50-06-41, диспетчер: 50-06-73, [email: atp@yaratp.ru] atp@yaratp.ru Войт
0245966232;"АО АПК ""АЛЕКСЕЕВСКИЙ""";+73472680099;телефон;отдел кадров;;обход сайта (3-я сессия);http://alex-agro.ru/;8-00-68 [email: info@alex-agro.ru] info@alex-agro.ru Отдел кадров АО АПК «Алексеевский» : +7 (347) 268-00-99 Отдел материально-т
0245966232;"АО АПК ""АЛЕКСЕЕВСКИЙ""";+73472680038;телефон;отдел;;обход сайта (3-я сессия);http://alex-agro.ru/;ов АО АПК «Алексеевский» : +7 (347) 268-00-99 Отдел материально-технического обеспечения: +7 (347) 268-00-38 Адрес: Республика Б
0245966232;"АО АПК ""АЛЕКСЕЕВСКИЙ""";+73472680068;телефон;приёмная;;обход сайта (3-я сессия);http://alex-agro.ru/;Компания История Основные показатели Закупки Вакансии Карта магазинов Контакты Приемная: +7 (347) 268-00-68 [email: info@alex-a
0245966232;"АО АПК ""АЛЕКСЕЕВСКИЙ""";+79677885972;телефон;мобильный;Юсупов Айдар Ришатович;обход сайта (3-я сессия);http://alex-agro.ru/contacts;лексеевский»: Юсупов Айдар Ришатович Отдел кадров АО АПК «Алексеевский»: +7(347)268-00-99 +7 967 788-59-72 Отдел материально-т
0245966232;"АО АПК ""АЛЕКСЕЕВСКИЙ""";info@alex-agro.ru;почта;общая почта;;обход сайта (3-я сессия);http://alex-agro.ru/;трудничеству, а так же коммерческое предложение нам на почту: [email: info@alex-agro.ru] info@alex-agro.ru
0255014715;"ООО ""БЕЛВОДОКАНАЛ""";+73478635016;телефон;номер предприятия;;обход сайта (3-я сессия);http://vodokanal-belebey.ru/;", предусмотренных действующим законодательством Российской Федерации. 2+2= &#916; × [тел: +73478635016] Call Now Button Ин"
0255014715;"ООО ""БЕЛВОДОКАНАЛ""";+79093450159;телефон;мобильный;;обход сайта (3-я сессия);http://vodokanal-belebey.ru/;"Заказать откачку можно по телефону 3-50-16, а так же в рабочие дни по телефонам 3-50-17; 89093450159 &times; Передать по"
0255014715;"ООО ""БЕЛВОДОКАНАЛ""";+73478674053;телефон;номер предприятия;;обход сайта (3-я сессия);https://vodokanal-belebey.ru/contact-2/;"осам услуги по откачке шамбо в г. Белебей: 8(34786)3-50-17 8(909)3450159 в р.п. Приютово: 8(34786)7-40-53 ""Все права защищены"
